% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principal axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=113433, Tue Oct 18 13:13:26 2022
1 6 -0.07209568278208175 -0.07209568278208175 -0.07209568278208175 -0.07209568278208175 0.9632779023822349 1.0354205342671554
2 12 -0.0242099975005041 -0.0242099975005041 -0.0242099975005041 -0.0242099975005041 0.9632779023822349 1.0354205342671554
3 18 -0.20932602473361564 -0.20932602473361564 -0.20932602473361564 -0.20932602473361564 0.8891985016105147 1.0996936049343997
4 24 -0.35587651805827747 -0.35587651805827747 -0.35587651805827747 -0.35587651805827747 0.8891985016105147 1.0996936049343997
5 30 -0.4180032404909663 -0.4180032404909663 -0.4180032404909663 -0.4180032404909663 0.7628871210795433 1.1907994123658971
6 36 -0.5073498656605435 -0.5073498656605435 -0.5073498656605435 -0.5073498656605435 0.7628871210795433 1.1907994123658971
7 42 -0.3306024825203655 -0.3306024825203655 -0.3306024825203655 -0.3306024825203655 0.818167169641776 1.1535174391921283
8 48 -0.30472428099780036 -0.30472428099780036 -0.30472428099780036 -0.30472428099780036 0.818167169641776 1.1535174391921283
9 54 -0.22018715842767886 -0.22018715842767886 -0.22018715842767886 -0.22018715842767886 0.8830701226812745 1.1046208211090713
10 60 -0.28903373915256486 -0.28903373915256486 -0.28903373915256486 -0.28903373915256486 0.8830701226812745 1.1046208211090713
11 66 -0.240783667666017 -0.240783667666017 -0.240783667666017 -0.240783667666017 0.8713302085512604 1.1139046941574566
12 72 -0.2083100756111898 -0.2083100756111898 -0.2083100756111898 -0.2083100756111898 0.8713302085512604 1.1139046941574566
13 78 -0.2620276708360951 -0.2620276708360951 -0.2620276708360951 -0.2620276708360951 0.8590531585204172 1.1234000493306449
14 84 -0.16959293001528541 -0.16959293001528541 -0.16959293001528541 -0.16959293001528541 0.8590531585204172 1.1234000493306449
15 90 -0.10711829772958224 -0.10711829772958224 -0.10711829772958224 -0.10711829772958224 0.9449241780536776 1.0521968911423292
16 96 -0.0972839597491574 -0.0972839597491574 -0.0972839597491574 -0.0972839597491574 0.9449241780536776 1.0521968911423292
17 102 -0.2756870764220362 -0.2756870764220362 -0.2756870764220362 -0.2756870764220362 0.8510657574934877 1.1294631806402706
18 108 -0.505601307324176 -0.505601307324176 -0.505601307324176 -0.505601307324176 0.8510657574934877 1.1294631806402706
19 114 -0.41480023257315735 -0.41480023257315735 -0.41480023257315735 -0.41480023257315735 0.7649835079443496 1.1894537538606356
20 120 -0.3589498412145191 -0.3589498412145191 -0.3589498412145191 -0.3589498412145191 0.7649835079443496 1.1894537538606356
21 126 -0.07116011290521532 -0.07116011290521532 -0.07116011290521532 -0.07116011290521532 0.9637633978808207 1.0349686531026991
22 132 -0.15756286835037175 -0.15756286835037175 -0.15756286835037175 -0.15756286835037175 0.9637633978808207 1.0349686531026991
23 138 -0.2126002819369433 -0.2126002819369433 -0.2126002819369433 -0.2126002819369433 0.8873554631955882 1.101181312017664
24 144 0.10160800896011425 0.10160800896011425 0.10160800896011425 0.10160800896011425 0.8873554631955882 1.101181312017664
25 150 0.29897897924939654 0.29897897924939654 0.29897897924939654 0.29897897924939654 0.8372699808010576 1.139727589930768
26 156 0.09337426706539156 0.09337426706539156 0.09337426706539156 0.09337426706539156 0.8372699808010576 1.139727589930768
27 162 0.17077369582748314 0.17077369582748314 0.17077369582748314 0.17077369582748314 0.9106186381644716 1.082022964556429
28 168 0.09273174639907651 0.09273174639907651 0.09273174639907651 0.09273174639907651 0.9106186381644716 1.082022964556429
29 174 0.34911692419379065 0.34911692419379065 0.34911692419379065 0.34911692419379065 0.8067732493124754 1.1615149263758044
30 180 0.5166295983570921 0.5166295983570921 0.5166295983570921 0.5166295983570921 0.8067732493124754 1.1615149263758044
31 186 0.4976317778134198 0.4976317778134198 0.4976317778134198 0.4976317778134198 0.7087793889402966 1.2237776668224583
32 192 0.18568140651742074 0.18568140651742074 0.18568140651742074 0.18568140651742074 0.7087793889402966 1.2237776668224583
33 198 0.041164332537321185 0.041164332537321185 0.041164332537321185 0.041164332537321185 0.9792015458845431 1.0203746040240913
34 204 -0.12566319303632179 -0.12566319303632179 -0.12566319303632179 -0.12566319303632179 0.9792015458845431 1.0203746040240913
