% # columns="iteration, evaluation, void, void, void, xmean", seed=113433, Tue Oct 18 13:13:26 2022, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 6 0 0 0 -4.206728739163175 -20.806837249349044
2 12 0 0 0 -3.3425970207110876 -21.663938123126087
3 18 0 0 0 -2.823502151656474 -21.751518362197913
4 24 0 0 0 -3.2361588000583015 -21.06738291422564
5 30 0 0 0 -3.333325449412494 -21.145040578441037
6 36 0 0 0 -3.1012999214318935 -21.49316086357684
7 42 0 0 0 -3.302415264190021 -21.597608279065394
8 48 0 0 0 -3.3204402430268134 -21.390149684990515
9 54 0 0 0 -3.379742675940004 -21.41493839561407
10 60 0 0 0 -3.38940800165714 -21.275771070271524
11 66 0 0 0 -3.3729840198063283 -21.445426695321796
12 72 0 0 0 -3.358185025734772 -21.52188145699984
13 78 0 0 0 -3.357357200761767 -21.474139402309575
14 84 0 0 0 -3.337885670760949 -21.439248009141323
15 90 0 0 0 -3.317586893899394 -21.477885303513386
16 96 0 0 0 -3.3334252905919586 -21.39337216320055
17 102 0 0 0 -3.3351839898984115 -21.446371052714646
18 108 0 0 0 -3.3226126570195973 -21.47395915439046
19 114 0 0 0 -3.3289009178458664 -21.488384694150714
20 120 0 0 0 -3.3298158773554443 -21.448338165472222
21 126 0 0 0 -3.3353509340613914 -21.501539213328222
22 132 0 0 0 -3.3340837457655645 -21.48465790269962
23 138 0 0 0 -3.3317054607926773 -21.47935205442902
24 144 0 0 0 -3.326264795985357 -21.46798049195915
25 150 0 0 0 -3.3176846001578486 -21.456471038337853
26 156 0 0 0 -3.316712978877791 -21.46701601418709
27 162 0 0 0 -3.3119102876454236 -21.466442354951226
28 168 0 0 0 -3.310506443203903 -21.481304738927467
29 174 0 0 0 -3.3186980892561055 -21.49007330163586
30 180 0 0 0 -3.3074327122490903 -21.474977731803563
31 186 0 0 0 -3.2990023151146075 -21.46703248820461
32 192 0 0 0 -3.3134976690272944 -21.46497653059666
33 198 0 0 0 -3.314671394905928 -21.472760409034656
34 204 0 0 0 -3.30889588786511 -21.47471495540803
